Week,Date, Topic, Assignment
1,January 26,Work Flow and Reproducibility,
2,February 2,Introduction to Programming in R,
3,February 9,Reproducibility in Practice,
4,February 16,Data Wrangling in R,Problem Set 1 Assigned
5,February 23,Data Visualization,Problem Set 1 Due
6,March 2,Web Scraping, Problem Set 2 Assigned
7,March 9,Geospatial Data,Problem Set 2 Due
8,March 16,Text as Data,Problem Set 3 Assigned
9,March 23,Introduction to Statistical Learning,Problem Set 3 Due
-,March 30,Spring Break; No class,
10,April 6,Applications in Supervised Learning (Regression),Problem Set 4 Assigned
11,April 13,Applications in Supervised Learning (Classification),Project Proposal Due; Problem Set 4 Due
12,April 20,Interpretable Machine Learning, Problem Set 5 Assigned
13,April 27,Applications in Unsupervised Learning, Problem Set 5 Due
14,May 4,Project Presentations,
Final,May 18,Final Project Due (9:00 PM),

